unknown 不知道的
unlucky 不幸的
unmarried 未婚的，独身的
unpleasant 使人不愉快的
unsafe 不安全的，危险的
unsuccessful 不成功的，失败的
untrue 不真实的，假的
unusual 不平常的，异常的
unwilling 不愿意的，勉强的

由-able 或-ible 后缀构成的形容词
able 能够；有能力的；能够的
accessible 可到达的，可接受的
admirable 值得赞赏的，可钦佩的
available 可获得的；闲置的
changeable 易变的，变化无常的
comfortable 舒服的，安逸的；舒服的
enjoyable 愉快的；有趣的
flexible 灵活的，可变动的
horrible 令人恐惧的
portable 手提的，便携式的
possible 可能的
probable 很可能的，很有希望的
reasonable 合乎情理的
reliable 可信赖的，可依靠的
stable 稳固的，牢固的
suitable 合适的，适宜的
terrible 可怕的，糟糕的
valuable 值钱的，贵重的；有价值的

由-al 后缀构成的形容词
abnormal 反常的，变态的
actual 实际的，现实的
agricultural 农业的
annual 每年的，年度的
casual 漫不经心的
central 中心的，中央的；中心的
conventional 依照惯例的
digital 数字的，数码的
equal 平等的
federal 中；央；的
festival 节日的，喜庆的；节日
final 最后的，终极的；最后的
fundamental 十分重大的，根本的
general 大体上的，笼统的；将军；一般的；总的
legal 与法律有关的
mental 精神的，脑力的
metal 金属制成的，金属的；金属
moral 道德的
national 国家的；民族的
natural 自然的
normal 正常的
optional 可选择的，选修的
oral 口述的，口头上的
oval 椭圆形的
personal 个人的，私人的；个人的
punctual 准时的，守时的
royal 皇家的，王室的
spiritual 精神的，心灵的
traditional 传统的，风俗的；传统的
usual 通常的，平常的
visual 必不可少的，对……极重要的

由-cal 后缀构成的形容词
botanical 植物学的，植物的
chemical 化学的
classical 传统的；古典的
electrical 电的；电器的
local 当地的，地方的；当地的
medical 医学的，医疗的；医学的
musical 音乐的
physical 身体的；物理的
political 政治的
practical 实际的，适用的
sceptical 怀疑的
technical 技术的，工艺的
theoretical 理论的
typical 典型的，有代表性的；典型的
vertical 垂直的，纵向的

由-ial 后缀构成的形容词
artificial 人工的，人造的
beneficial 有利的，有帮助的
commercial 毛衣的，商业的
confidential 机密的，保密的
controversial 引起争论的，有争议的
facial 面部用的；脸的
initial 开始的，最初的
official 官方的，政府的；正式的
racial 种族的
social 社会的，社交的；社会的
special 特别的，专门的；特别的

由-ant 后缀构成的形容词
abundant 大量的，丰盛的
brilliant 巧妙地，技艺高的
constant 经常的
distant 远的，遥远的
elegant 文雅的，漂亮的
fragrant 香的，芳香的
important 重要的
instant 即时的；紧迫的；方便的
merchant 商业的；商人的
pleasant 令人愉快的，舒适的；令人愉快的
pregnant 怀孕的
relevant 相关的；切题的
vacant 空缺的，未被占用的

由-ent 后缀构成的形容词
absent 缺席的，不在的；缺席的
ancient 古代的，古老的；古代的
apparent 显而易见的
confident 自信的，有自信的；自信的
consistent 一致的，始终如一的
convenient 便利的，方便的；方便的
different 不同的，有差异的；不同的
evident 清楚地，显而易见的
excellent 极好的，优秀的；优秀的
fluent 流利的
frequent 经常的，频繁的
innocent 无辜的，清白的
permanent 永久的，永恒的
silent 无声的，无对话的
transparent 透明的，清澈的
urgent 紧急的，紧迫的
violent 暴力的

由-ate 后缀构成的形容词
adequate 合适的；合乎情理的
appropriate 合适的，恰当的
considerate 体贴的，关心
delicate 易损的，易碎的
desperate 不惜冒险的
favourite 幸运的，侥幸的
immediate 立即的
late 晚的，迟的；晚；迟
private 私人的

由-ic 后缀构成的形容词
academic 学术的，教学的
alcoholic 含酒精的
allergic 过敏的；厌恶的
athletic 健壮的；体育运动的
authentic 真正的
automatic 自动的，机械的
basic 基本的
bureaucratic 官僚的
catholic 天主教的
characteristic 典型的，独特的
classic 一流的，经典的；有代表性的
cubic 立方体的，立方形的
dynamic 充满活力的
electric 用电的，电动的；电的
electronic 电子的
energetic 精力旺盛的
enthusiastic 热情的，热心的
fantastic 极好的，美妙的；极好的
magic 有魔力的；不可思议的；魔法的；神奇的
Olympic 奥林匹克的
optimistic 乐观的
panic 惊慌的，惶恐不安的
plastic 塑料的
public 公共的，公众的；公共的
scientific 科学的
specific 明确的，具体的；独特的
systematic 系统的，有条理的

由-ive 后缀构成的形容词
active 积极的
aggressive 侵略的；咄咄逼人的
alternative 可供替代的
attractive 迷人的，有吸引力的
conservative 保守的，守旧的；谨慎的
expensive 昂贵的
native 本土的，本国的
passive 被动的
primitive 原始的，远古；的
radioactive 放射性的
sensitive 敏感的，感觉敏锐的
subjective 主观的
tentative 试验性的

由-less 后缀构成的形容词
breathless 气喘吁吁的，上气不接下气的
careless 粗心的，漫不经心的；粗心的
cordless 无线的
endless 无止境的，没有劲头的
harmless 无害的，不致伤的
hopeless 没有希望的，不可救药的
regardless 不顾，不加理会
stainless 无污点的
useless 无用的
worthless 没有价值的，没有用的

由-ous 后缀构成的形容词
ambiguous 模棱两可的
anxious 忧虑的，焦虑的
